gasDayStart,full
2016-01-01,69.8
2016-01-02,69.44
2016-01-03,69.04
2016-01-04,68.46
2016-01-05,67.89
2016-01-06,67.37
2016-01-07,66.83
2016-01-08,66.33
2016-01-09,65.96
2016-01-10,65.64
2016-01-11,65.19
2016-01-12,64.77
2016-01-13,64.3
2016-01-14,63.72
2016-01-15,63.1
2016-01-16,62.56
2016-01-17,61.98
2016-01-18,61.13
2016-01-19,60.28
2016-01-20,59.46
2016-01-21,58.64
2016-01-22,57.89
2016-01-23,57.34
2016-01-24,56.9
2016-01-25,56.45
2016-01-26,56.04
2016-01-27,55.64
2016-01-28,55.24
2016-01-29,54.87
2016-01-30,54.58
2016-01-31,54.32
2016-02-01,54.02
2016-02-02,53.69
2016-02-03,53.5
2016-02-04,53.07
2016-02-05,52.69
2016-02-06,52.44
2016-02-07,52.2
2016-02-08,51.88
2016-02-09,51.53
2016-02-10,51.13
2016-02-11,50.71
2016-02-12,50.3
2016-02-13,50.01
2016-02-14,49.74
2016-02-15,49.29
2016-02-16,48.78
2016-02-17,48.23
2016-02-18,47.71
2016-02-19,47.28
2016-02-20,47.02
2016-02-21,46.84
2016-02-22,46.59
2016-02-23,46.28
2016-02-24,45.9
2016-02-25,45.44
2016-02-26,45.0
2016-02-27,44.67
2016-02-28,44.37
2016-02-29,43.94
2016-03-01,43.47
2016-03-02,43.11
2016-03-03,42.68
2016-03-04,42.23
2016-03-05,41.9
2016-03-06,41.58
2016-03-07,41.09
2016-03-08,40.62
2016-03-09,40.18
2016-03-10,39.77
2016-03-11,39.38
2016-03-12,39.14
2016-03-13,38.9
2016-03-14,38.56
2016-03-15,38.16
2016-03-16,37.76
2016-03-17,37.41
2016-03-18,37.12
2016-03-19,36.95
2016-03-20,36.8
2016-03-21,36.54
2016-03-22,36.31
2016-03-23,36.08
2016-03-24,35.88
2016-03-25,35.75
2016-03-26,35.74
2016-03-27,35.72
2016-03-28,35.68
2016-03-29,35.56
2016-03-30,35.46
2016-03-31,35.2
2016-04-01,34.89
2016-04-02,35.02
2016-04-03,35.24
2016-04-04,35.39
2016-04-05,35.32
2016-04-06,35.95
2016-04-07,36.18
2016-04-08,36.23
2016-04-09,36.37
2016-04-10,36.58
2016-04-11,36.73
2016-04-12,36.87
2016-04-13,36.99
